Respondent_ID,Timestamp,1. Which best describes you?,2. Which city do you currently live in?,3. Which UPI apps do you currently use?,4. Which UPI app do you use MOST?,5. Have you used Paytm UPI in the last 90 days?,6. Roughly how many UPI payments do you make in a typical week?,7. Where do you use UPI MOST often?,8. What is the BIGGEST reason you usually open your primary UPI app?,9. When are you MOST likely to use Paytm UPI?,10. What is the BIGGEST reason you do NOT use Paytm for more of your UPI payments?,11. In ONE sentence: what would make you use Paytm more?,12. Would you be open to a 15-minute follow-up conversation about your UPI habits?,Data_Quality_Flag,TrackA_Eligibility
VIRTUS_079,2026-09-12 10:44:29.647,College student,Sitapur,"PhonePe, Google Pay, Paytm, Amazon Pay",Google Pay,No,4–7,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family, College / education, Online purchases",It is simply my habit / default,Shopping / online purchases,I trust another app more,Ok,Yes,OK,Not Track-A Eligible
VIRTUS_080,2026-09-12 10:53:47.212,College student,Prayagraj,"Google Pay, Amazon Pay",Google Pay,No,30+,"Food / cafés / restaurants, Shopping, Travel / auto / cab, Bills / recharge, Friends / family, Online purchases, Subscriptions","It is simply my habit / default, It is faster or easier, My friends / family use it",I cannot think of a recent Paytm use,"Another app feels faster / easier, Paytm does not give me a strong reason to switch",Better UI and faster app,No,OK,Not Track-A Eligible
VIRTUS_081,2026-09-12 11:34:06.071,College student,Sangali Maharashtra,"Google Pay, Navi",Navi,No,16–30,"Food / cafés / restaurants, Groceries, Friends / family",It is faster or easier,"Food / restaurants, High-value payments",I automatically use another app,All UPI give less Cash back  than Navi,No,OK,Not Track-A Eligible
VIRTUS_082,2026-09-12 11:34:53.424,Working professional,Bangalore,Google Pay,Google Pay,No,16–30,"Groceries, Travel / auto / cab","I trust it more, It feels more reliable",I cannot think of a recent Paytm use,"Another app feels faster / easier, I trust another app more, Paytm does not give me a strong reason to switch",Nothing,No,Missing/placeholder Paytm opportunity,Not Track-A Eligible
VIRTUS_083,2026-09-12 11:45:11.449,College student,Akbarpur,PhonePe,PhonePe,Yes,1–3,Travel / auto / cab,Merchants commonly use it,Payments to friends / family,I automatically use another app,Bad,No,OK,Not Track-A Eligible
VIRTUS_084,2026-09-12 12:23:28.626,College student,Sitapur,PhonePe,PhonePe,Yes,1–3,Shopping,Other,Shopping / online purchases,Other,All Features,Yes,OK,Not Track-A Eligible
VIRTUS_085,2026-09-12 17:20:10.417,College student,Lakhimpur Kheri,"PhonePe, Google Pay",Paytm,Yes,8–15,"Friends / family, College / education","It is simply my habit / default, My friends / family use it","I use Paytm randomly, with no specific occasion",I automatically use another app,"Isme aap likh sakte ho:

 **“Agar Paytm par zyada cashback aur rewards milte.”**",Yes,OK,Not Track-A Eligible
VIRTUS_086,2026-09-12 19:12:40.637,College student,Lucknow,Paytm,Paytm,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, Better offers / rewards, Better features / experience","Shopping / online purchases, Bills / recharge, Payments to friends / family",Nothing — I could use Paytm more,If It roll out More Amount of Cashbacks and also provide Better Offers,Yes,OK,Not Track-A Eligible
VIRTUS_087,2026-09-12 21:24:17.734,College student,Sitapur,PhonePe,PhonePe,Yes,1–3,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions",It is faster or easier,"Shopping / online purchases, Bills / recharge, Food / restaurants, Payments to friends / family, High-value payments",I automatically use another app,Yes this payment  is very secure is expensive,Yes,OK,Not Track-A Eligible
VIRTUS_088,2026-09-12 22:28:47.653,Self-employed / freelancer,"Riga , Latvia","PhonePe, Google Pay",PhonePe,No,30+,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family","It is faster or easier, It feels more reliable","Shopping / online purchases, Food / restaurants, Payments to friends / family","Paytm does not give me a strong reason to switch, I am not familiar with Paytm features",Better i will use first for normal transactions.,Yes,OK,Not Track-A Eligible
VIRTUS_089,2026-09-13 07:01:57.951,College student,Laharpur,"Paytm, Paytm",Google pay,Yes,16–30,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is faster or easier, Merchants commonly use it","Food / restaurants, Payments to friends / family",I automatically use another app,Thank you,Yes,OK,Track-A Eligible
VIRTUS_090,2026-09-13 18:32:23.909,College student,Uttar Pradesh,PhonePe,PhonePe,Yes,1–3,"Food / cafés / restaurants, Groceries",My friends / family use it,Shopping / online purchases,"Another app feels faster / easier, Other",If my friends used it more,Yes,OK,Not Track-A Eligible
VIRTUS_091,2026-09-13 18:32:40.320,Working professional,Sitapur,Google Pay,Google Pay,No,8–15,"Shopping, Bills / recharge",My friends / family use it,"Shopping / online purchases, Bills / recharge",I automatically use another app,Fecher,No,OK,Not Track-A Eligible
VIRTUS_092,2026-09-13 18:52:33.486,Self-employed / freelancer,Sitapur,Google Pay,Google Pay,No,8–15,"Shopping, Bills / recharge",It is simply my habit / default,"Shopping / online purchases, Bills / recharge, Food / restaurants",I automatically use another app,All features,No,OK,Not Track-A Eligible
VIRTUS_093,2026-09-13 18:56:27.301,Working professional,Gaura,PhonePe,Paytm,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Subscriptions,","It is simply my habit / default, It is faster or easier, My friends / family use it, Merchants commonly use it, Better offers / rewards, I trust it more","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion","I automatically use another app, Another app feels faster / easier, My friends / family are on another app, Merchants usually use another app, I trust another app more, Paytm does not give me a strong reason to switch",पेमेंट जल्दी हो जाता है ।,Yes,OK,Not Track-A Eligible
VIRTUS_094,2026-09-13 19:04:00.903,Other,Sitapur,Google Pay,Google Pay,No,1–3,Shopping,Other,Shopping / online purchases,I automatically use another app,All features,No,OK,Not Track-A Eligible
VIRTUS_095,2026-09-13 19:04:43.075,Other,Sitapur,Google Pay,Google Pay,No,1–3,Bills / recharge,Other,Bills / recharge,Other,All Fischers,No,OK,Not Track-A Eligible
VIRTUS_096,2026-09-13 19:45:41.792,College student,Indore,Super Money,Super Money,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, Merchants commonly use it",I cannot think of a recent Paytm use,I automatically use another app,More cashback,No,OK,Not Track-A Eligible
VIRTUS_097,2026-09-13 19:49:19.106,Working professional,Delhi,"PhonePe, Google Pay, Paytm, Amazon Pay",Google Pay,No,8–15,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, Online purchases, Rent","It is simply my habit / default, It is faster or easier, Merchants commonly use it","Travel / transport, When there is an offer / reward",Another app feels faster / easier,If more faster way is available to pay.,No,OK,Not Track-A Eligible
VIRTUS_098,2026-09-13 21:28:54.108,Working professional,Agra,"PhonePe, Google Pay, BHIM, Amazon Pay",Google Pay,Yes,8–15,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family","It is faster or easier, I trust it more",Shopping / online purchases,Another app feels faster / easier,User interface of Gpay is better,Yes,OK,Not Track-A Eligible
VIRTUS_099,2026-09-13 21:39:26.018,College student,Jamshedpur,"PhonePe, Google Pay, Paytm, BHIM, Amazon Pay, Super Money",PhonePe,Yes,16–30,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases",It is faster or easier,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, When there is an offer / reward, I use Paytm randomly, with no specific occasion",I automatically use another app,If it actually gave cashback,No,OK,Track-A Eligible
VIRTUS_100,2026-09-13 21:54:29.386,Self-employed / freelancer,Lakhimapur Kheri,"PhonePe, Google Pay",Google Pay,Yes,1–3,"Shopping, Travel / auto / cab, Bills / recharge, Friends / family","It is faster or easier, My friends / family use it, I trust it more","Shopping / online purchases, Bills / recharge, Food / restaurants",I automatically use another app,Very nice,Yes,OK,Not Track-A Eligible
VIRTUS_101,2026-09-13 22:06:16.174,College student,Sitapur,PhonePe,PhonePe,Yes,30+,Bills / recharge,My friends / family use it,"Shopping / online purchases, Bills / recharge",I automatically use another app,All frichured,No,OK,Not Track-A Eligible
VIRTUS_102,2026-09-13 22:08:03.094,Self-employed / freelancer,Sitapur,Google Pay,Google Pay,No,30+,"Shopping, Bills / recharge",My friends / family use it,"Shopping / online purchases, Bills / recharge",I automatically use another app,All furchegers,No,OK,Not Track-A Eligible
VIRTUS_103,2026-09-13 22:10:13.557,College student,Sitapur,PhonePe,PhonePe,Yes,30+,Bills / recharge,My friends / family use it,"Shopping / online purchases, Bills / recharge",My friends / family are on another app,All furchegers,No,OK,Not Track-A Eligible
VIRTUS_104,2026-09-13 23:37:18.326,Working professional,Delhi,"PhonePe, Google Pay, Amazon Pay",CRED,No,16–30,"Food / cafés / restaurants, Groceries, Bills / recharge, Online purchases","It is faster or easier, It feels more reliable",Travel / transport,Paytm does not give me a strong reason to switch,"If their wallet system is back again, as PayTm is widely accepted.",No,OK,Not Track-A Eligible
VIRTUS_105,2026-09-14 12:26:08.843,College student,Sitapur,PhonePe,PhonePe,Yes,1–3,Shopping,My friends / family use it,Shopping / online purchases,Another app feels faster / easier,Ok,Yes,OK,Not Track-A Eligible
VIRTUS_106,2026-09-14 15:22:18.451,College student,Sitapur,Google Pay,Google Pay,Yes,30+,Friends / family,My friends / family use it,Bills / recharge,My friends / family are on another app,Googal pay,Yes,OK,Not Track-A Eligible
VIRTUS_107,2026-09-16 20:35:16.114,College student,Sitapur,Google Pay,Google Pay,Yes,8–15,"Food / cafés / restaurants, Groceries",It is simply my habit / default,Bills / recharge,I automatically use another app,phone game,Yes,OK,Not Track-A Eligible
VIRTUS_108,2026-09-16 20:37:20.615,Working professional,Sitapur,PhonePe,Google Pay,Yes,1–3,Food / cafés / restaurants,It is simply my habit / default,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion, I cannot think of a recent Paytm use","I automatically use another app, Another app feels faster / easier, My friends / family are on another app, Merchants usually use another app, Another app has better offers / rewards, I trust another app more, Paytm does not give me a strong reason to switch, I am not familiar with Paytm features, Nothing — I could use Paytm more, Other",Phone game,Yes,OK,Not Track-A Eligible
VIRTUS_109,2026-09-18 11:19:54.415,College student,Sitapur,PhonePe,PhonePe,Yes,1–3,"Travel / auto / cab, Bills / recharge",It is simply my habit / default,Shopping / online purchases,I automatically use another app,Upi,Yes,OK,Not Track-A Eligible
VIRTUS_110,2026-09-18 20:04:14.348,College student,Lakhimpur Kheri,PhonePe,PhonePe,Yes,4–7,Friends / family,My friends / family use it,Bills / recharge,Nothing — I could use Paytm more,Only freinds,Yes,OK,Not Track-A Eligible
VIRTUS_111,2026-09-18 21:02:06.269,College student,Lakhimpur Kheri,PhonePe,PhonePe,Yes,1–3,"Food / cafés / restaurants,",Other,Payments to friends / family,My friends / family are on another app,Yes,Yes,OK,Not Track-A Eligible
VIRTUS_112,2026-09-19 14:01:46.302,College student,Lakhimpur khiri,PhonePe,PhonePe,Yes,4–7,Shopping,It is faster or easier,Shopping / online purchases,Other,If it made my daily payment faster and esair,Yes,OK,Not Track-A Eligible
VIRTUS_113,2026-09-19 14:04:53.369,College student,Lakhimpur khiri,PhonePe,PhonePe,Yes,4–7,Shopping,It is faster or easier,Shopping / online purchases,Another app feels faster / easier,If it made my daily payments faster and easier,Yes,OK,Not Track-A Eligible
